xdac,yWE,
0.3198242188,0,
0.322265625,0,
0.3271484375,0,
0.3271484375,0,
0.3271484375,0.0390625,
0.3295898438,0,
0.33203125,0,
0.3369140625,0,
0.3393554688,0,
0.341796875,0.0830078125,
0.3491210938,0,
0.3369140625,0,
0.3369140625,0,
0.3393554688,0,
0.341796875,0.0830078125,
0.3491210938,0.0830078125,
0.3491210938,0.029296875,
0.3515625,0.29296875,
0.3588867188,0.29296875,
0.3588867188,0.29296875,
0.3588867188,0,
0.361328125,0.0244140625,
0.3637695313,0,
0.3686523438,0,
0.3686523438,0,
0.3686523438,0,
0.37109375,0,
0.3735351563,0,
0.3784179688,0,
0.3784179688,0,
0.3784179688,0,
0.380859375,0,
0.3833007813,0,
0.3881835938,0,
0.3881835938,0,
0.3881835938,0,
0.390625,0,
0.3930664063,0,
0.3979492188,0,
0.3979492188,0,
0.400390625,0.0439453125,
0.4028320313,0,
0.3979492188,0,
0.400390625,0.0439453125,
0.4028320313,0,
0.4077148438,0,
0.4077148438,0,
0.4077148438,0.107421875,
0.41015625,0,
0.4125976563,0,
0.4174804688,0,
0.4174804688,0,
0.4174804688,0,
0.419921875,0.0244140625,
0.4223632813,0,
0.4272460938,0,
0.4272460938,0,
0.4272460938,0,
0.4296875,0.234375,
0.4321289063,0,
0.4370117188,0,
0.4370117188,0.0341796875,
0.439453125,0.078125,
0.4418945313,0,
0.4370117188,0.0341796875,
0.439453125,0.078125,
0.4418945313,0,
0.4467773438,0,
0.4467773438,0,
0.4467773438,0,
0.44921875,0,
0.4516601563,0,
0.4565429688,0,
0.4565429688,0,
0.4565429688,0,
0.458984375,0.01953125,
0.4614257813,0,
0.4663085938,0,
0.4663085938,0,
0.4663085938,0,
0.46875,0,
0.4711914063,0.2685546875,
0.4760742188,0.2685546875,
0.4760742188,0.2685546875,
0.4760742188,0,
0.478515625,0,
0.4809570313,0,
0.4858398438,0,
0.4858398438,0,
0.4858398438,0,
0.48828125,0,
0.4907226563,0,
0.4956054688,0,
0.4956054688,0,
0.4956054688,0.1025390625,
0.498046875,0,
0.5004882813,0.1220703125,
0.5053710938,0.1220703125,
0.5053710938,0.1220703125,
0.5053710938,0.166015625,
0.5078125,0,
0.5102539063,0.009765625,
0.5151367188,0.009765625,
0.5151367188,0.009765625,
0.5151367188,0,
0.517578125,0.2294921875,
0.5200195313,0,
0.5249023438,0,
0.5249023438,0.185546875,
0.52734375,0.126953125,
0.5297851563,0,
0.5249023438,0.185546875,
0.52734375,0.126953125,
0.5297851563,0.0439453125,
0.5346679688,0.0439453125,
0.5346679688,0.166015625,
0.537109375,0,
0.5395507813,0.0439453125,
0.5346679688,0,
0.5444335938,0,
0.546875,0,
0.5395507813,0,
0.5444335938,0,
0.546875,0,
0.5395507813,0,
0.5444335938,0,
0.546875,0.0341796875,
0.5493164063,0,
0.5541992188,0,
0.556640625,0,
0.5590820313,0,
0.5639648438,0,
0.5541992188,0,
0.556640625,0,
0.5590820313,0,
0.5639648438,0,
0.5541992188,0,
0.556640625,0,
0.5590820313,0,
0.5639648438,0.1025390625,
0.56640625,0.01953125,
0.5688476563,0,
0.5737304688,0,
0.5737304688,0,
0.5737304688,0,
0.576171875,0,
0.5786132813,0,
0.5834960938,0,
0.5834960938,0,
0.5834960938,0.15625,
0.5859375,0.0634765625,
0.5883789063,0,
0.5932617188,0,
0.5932617188,0,
0.5932617188,0.0634765625,
0.595703125,0,
0.5981445313,0,
0.60546875,0,
0.60546875,0,
0.60546875,0.0732421875,
0.6079101563,0,
0.615234375,0,
0.615234375,0,
0.615234375,0.0634765625,
0.6176757813,0,
0.625,0,
0.625,0,
0.625,0,
0.6274414063,0.1025390625,
0.6298828125,0,
0.634765625,0,
0.634765625,0,
0.634765625,0,
0.6372070313,0.09765625,
0.6396484375,0,
0.6494140625,0,
0.6494140625,0,
0.6494140625,0,
0.6518554688,0.068359375,
0.654296875,0,
0.6567382813,0,
0.6567382813,0,
0.6591796875,0.1611328125,
0.6616210938,0,
0.6567382813,0,
0.6591796875,0.1611328125,
0.6616210938,0,
0.6640625,0,
0.6640625,0,
0.6640625,0.009765625,
0.6665039063,0,
0.6689453125,0,
0.673828125,0,
0.673828125,0,
0.673828125,0.1708984375,
0.6762695313,0,
0.6787109375,0.087890625,
0.68359375,0.087890625,
0.68359375,0.087890625,
0.68359375,0,
0.6860351563,0.01953125,
0.6884765625,0.0732421875,
0.693359375,0.0732421875,
0.693359375,0.0732421875,
0.693359375,0,
0.6958007813,0.029296875,
0.6982421875,0.234375,
0.703125,0.234375,
0.703125,0.234375,
0.703125,0,
0.7055664063,0,
0.7080078125,0,
0.712890625,0,
0.712890625,0,
0.712890625,0,
0.7153320313,0,
0.7177734375,0,
0.72265625,0,
0.72265625,0,
